"Gene1","Gene2","Weight"
"LINC01117","FCN3",0.268285539633817
"EFCC1","FCN3",0.306799661007538
"HOXD1","FCN3",0.284205128579478
"GPR182","FCN3",0.303555198948343
"LYPD2","FCN3",0.279075958487292
"LOC441179","FCN3",0.25322054931433
"ENSG00000227160","FCN3",0.272352208154828
"GDF3","FCN3",0.281845820956843
"MYCN","FCN3",0.294294637068164
"SLC6A3","FCN3",0.264074031696269
"MYLK-AS2","FCN3",0.25869904319988
"ENSG00000258691","FCN3",0.253416568857914
"AVPR2","FCN3",0.300220870831713
"ENSG00000249772","FCN3",0.287090595959154
"ENSG00000214578","FCN3",0.287200965962481
"N4BP3","FCN3",0.290116254828836
"ENSG00000259124","FCN3",0.287607580409434
"ENSG00000280032","OTC",0.269669068518193
"GDF3","OTC",0.262836709229469
"FCN3","ENSG00000226252",0.281608962684471
"TRAT1","ZAP70",0.310113014189608
"IFNG","ZAP70",0.281081242004774
"FASLG","ZAP70",0.255549904529138
"TRGC1","ZAP70",0.252869626693038
"UBASH3A","ZAP70",0.274660258067215
"GZMH","ZAP70",0.284645486244117
"P2RY10","ZAP70",0.32782124995902
"XCL2","ZAP70",0.296070620715126
"EOMES","ZAP70",0.285692529784866
"ICOS","ZAP70",0.30833602096225
"TRBV20-1","CXCR3",0.256917932117185
"TRAT1","CXCR3",0.298584721975606
"IFNG","CXCR3",0.293098692803282
"FASLG","CXCR3",0.263434430928585
"TRGC1","CXCR3",0.25810465335708
"UBASH3A","CXCR3",0.260295318470976
"GZMH","CXCR3",0.31589620367798
"P2RY10","CXCR3",0.304535844757888
"XCL2","CXCR3",0.31078515405186
"LINC00892","CXCR3",0.259539671754375
"XCL1","CXCR3",0.272834072209198
"EOMES","CXCR3",0.3082729734378
"ICOS","CXCR3",0.32134907021157
"ZAP70","CXCR3",0.31608721380607
"ENSG00000278722","DHH",0.27586646315093
"ENSG00000257346","DHH",0.292971908499952
"MIR126","DHH",0.257697529606378
"ENSG00000280032","DHH",0.286944047048646
"GATA5","DHH",0.270304115880501
"HOXD1","DHH",0.268033717333095
"CLDN10-AS1","DHH",0.26077028778857
"GDF3","DHH",0.306668630595607
"SLC6A3","DHH",0.289574049483354
"FCN3","DHH",0.291288811151416
"OTC","DHH",0.252010980398653
"LCN10","TPO",0.254186489241907
"FCN3","TPO",0.287134907579449
"LINC01915","TFF3",0.256769942713192
"ENSG00000277489","TFF3",0.267678367353086
"TUBAL3","TFF3",0.280107777955419
"LCN10","TFF3",0.28169277288454
"EFCC1","TFF3",0.271527344116964
"HOXD1","TFF3",0.2623877245768
"GPR182","TFF3",0.25197944966255
"ENSG00000227160","TFF3",0.259692837998967
"GDF3","TFF3",0.268556597089511
"MYCN","TFF3",0.277038043289258
"SLC6A3","TFF3",0.253610335441224
"MYLK-AS2","TFF3",0.251028407100218
"AVPR2","TFF3",0.275168008143912
"ENSG00000249772","TFF3",0.258887173916607
"ENSG00000214578","TFF3",0.263128405094636
"ENSG00000259124","TFF3",0.258278227595509
"FCN3","TFF3",0.325511401827902
"DHH","TFF3",0.269042862453284
"LOC100131785","ENSG00000235576",0.250393037274226
"TRBV20-1","ENSG00000235576",0.27379270544127
"ENSG00000255987","ENSG00000235576",0.250347225060462
"TRAT1","ENSG00000235576",0.295506148787689
"IFNG","ENSG00000235576",0.279211828829154
"UBASH3A","ENSG00000235576",0.271838764722271
"TRAV8-3","ENSG00000235576",0.257137674440362
"GZMH","ENSG00000235576",0.305678943671384
"P2RY10","ENSG00000235576",0.307469582239072
"XCL2","ENSG00000235576",0.300028217202715
"XCL1","ENSG00000235576",0.256415584260518
"EOMES","ENSG00000235576",0.296152866546303
"ICOS","ENSG00000235576",0.319616870685655
"ZAP70","ENSG00000235576",0.314876943234938
"CXCR3","ENSG00000235576",0.300449092672835
"LINC01915","COL17A1",0.270522413259515
"ENSG00000277489","COL17A1",0.276258730265522
"TUBAL3","COL17A1",0.296606448693631
"ENSG00000205018","COL17A1",0.281424728487912
"ZSWIM2","COL17A1",0.250923864537626
"LCN10","COL17A1",0.296964309212872
"EFCC1","COL17A1",0.303494361095387
"HOXD1","COL17A1",0.263302452813489
"GPR182","COL17A1",0.282324675316159
"LOC441179","COL17A1",0.254924982209266
"ENSG00000227160","COL17A1",0.281005983191362
"MYCN","COL17A1",0.28572302370566
"MYLK-AS2","COL17A1",0.255427525510625
"AVPR2","COL17A1",0.300044602706466
"ENSG00000249772","COL17A1",0.290893516774901
"ENSG00000214578","COL17A1",0.263889995965807
"N4BP3","COL17A1",0.269134568241612
"FCN3","COL17A1",0.306783027646548
"TPO","COL17A1",0.280414432899274
"TFF3","COL17A1",0.298035953296253
"ENSG00000226871","LCN6",0.257387946494869
"ADGRA1","LCN6",0.250587354156857
"ENSG00000278722","LCN6",0.267402038441347
"ENSG00000273650","LCN6",0.262122255698423
"LINC01915","LCN6",0.310170078262102
"ENSG00000257346","LCN6",0.288774276978418
"ENSG00000199927","LCN6",0.267881642541424
"ENSG00000281710","LCN6",0.267881642541424
"ENSG00000277489","LCN6",0.310238683220162
"MIR126","LCN6",0.308594313475572
"TUBAL3","LCN6",0.318625213914955
"ENSG00000205018","LCN6",0.283033642851175
"ZSWIM2","LCN6",0.257330008784971
"ENSG00000280032","LCN6",0.321746743925178
"LCN10","LCN6",0.304111174022135
"EFCC1","LCN6",0.31067917951625
"GATA5","LCN6",0.295407158160608
"HOXD1","LCN6",0.342758098942011
"GPR182","LCN6",0.28125340980916
"LYPD2","LCN6",0.286893151752729
"LOC441179","LCN6",0.294486984397167
"CLDN10-AS1","LCN6",0.264728531856232
"ENSG00000227160","LCN6",0.307841751424428
"GDF3","LCN6",0.344287872243812
"MYCN","LCN6",0.30277208492455
"SLC6A3","LCN6",0.337889173768917
"MYLK-AS2","LCN6",0.318562822312414
"AVPR2","LCN6",0.311609715732475
"ENSG00000249772","LCN6",0.292044987985964
"ENSG00000214578","LCN6",0.294341177389925
"N4BP3","LCN6",0.268361468647013
"ENSG00000259124","LCN6",0.279176654074402
"FCN3","LCN6",0.340322045309457
"OTC","LCN6",0.251820897526209
"ENSG00000226252","LCN6",0.269974576823662
"DHH","LCN6",0.354949739732048
"TPO","LCN6",0.263422478461641
"FGFR3","LCN6",0.284350987330143
"TFF3","LCN6",0.344988326403874
"COL17A1","LCN6",0.300813928062492
"ADGRA1","ENSG00000204003",0.276123257141552
"ENSG00000273172","ENSG00000204003",0.269508495555815
"ENSG00000278722","ENSG00000204003",0.26587168730703
"ENSG00000273650","ENSG00000204003",0.287923453913708
"LINC01915","ENSG00000204003",0.3042950125684
"ENSG00000257346","ENSG00000204003",0.278767139619416
"ENSG00000199927","ENSG00000204003",0.288298246659702
"ENSG00000281710","ENSG00000204003",0.288298246659702
"ENSG00000277489","ENSG00000204003",0.322043700483422
"MIR126","ENSG00000204003",0.275115445148648
"KRT27","ENSG00000204003",0.255758299012008
"TUBAL3","ENSG00000204003",0.339958400837012
"ENSG00000205018","ENSG00000204003",0.293719474722973
"ZSWIM2","ENSG00000204003",0.278168302893096
"ENSG00000280032","ENSG00000204003",0.314653189778496
"LCN10","ENSG00000204003",0.339360007651278
"LINC01117","ENSG00000204003",0.276680672560599
"SCNN1B","ENSG00000204003",0.265545170341176
"EFCC1","ENSG00000204003",0.331407680603839
"GATA5","ENSG00000204003",0.28678936636125
"HOXD1","ENSG00000204003",0.326972879915751
"GPR182","ENSG00000204003",0.320826601818767
"C1QTNF9","ENSG00000204003",0.268209425759792
"LYPD2","ENSG00000204003",0.326211411919198
"ENSG00000267045","ENSG00000204003",0.269464773221428
"LOC441179","ENSG00000204003",0.281326009411121
"CLDN10-AS1","ENSG00000204003",0.250219291953463
"ENSG00000227160","ENSG00000204003",0.314458892385495
"GDF3","ENSG00000204003",0.348976969869158
"MYCN","ENSG00000204003",0.336957832620448
"SFTA2","ENSG00000204003",0.268693506988879
"SLC6A3","ENSG00000204003",0.322613017633269
"MYLK-AS2","ENSG00000204003",0.297977034775399
"ENSG00000258691","ENSG00000204003",0.287241857170407
"AVPR2","ENSG00000204003",0.33073890465135
"ENSG00000249772","ENSG00000204003",0.32316712311443
"ENSG00000214578","ENSG00000204003",0.328999415101623
"TMEM252","ENSG00000204003",0.255920287084404
"N4BP3","ENSG00000204003",0.302779333458762
"ENSG00000259124","ENSG00000204003",0.326770616538789
"FCN3","ENSG00000204003",0.376392950599701
"ENSG00000226252","ENSG00000204003",0.304803064747132
"DHH","ENSG00000204003",0.353116358238703
"TPO","ENSG00000204003",0.302856389032166
"FGFR3","ENSG00000204003",0.288887927493569
"TFF3","ENSG00000204003",0.370525365745749
"COL17A1","ENSG00000204003",0.331312948144026
"LCN6","ENSG00000204003",0.37502289692749
"ENSG00000273172","SEMA3G",0.250242351536953
"ENSG00000273650","SEMA3G",0.280092072684406
"LINC01915","SEMA3G",0.274382918264947
"ENSG00000277489","SEMA3G",0.280037745861828
"TUBAL3","SEMA3G",0.316071977348642
"ENSG00000205018","SEMA3G",0.2853676717928
"LCN10","SEMA3G",0.314563031092924
"LINC01117","SEMA3G",0.271139296535187
"SCNN1B","SEMA3G",0.252772909364693
"EFCC1","SEMA3G",0.317679694671988
"HOXD1","SEMA3G",0.281524596943289
"GPR182","SEMA3G",0.297865906642455
"C1QTNF9","SEMA3G",0.271000593822132
"LYPD2","SEMA3G",0.281999672382996
"LOC441179","SEMA3G",0.252226366030457
"CCDC178","SEMA3G",0.255808591836846
"ENSG00000227160","SEMA3G",0.278359485984356
"GDF3","SEMA3G",0.272583862206341
"MYCN","SEMA3G",0.30956397932138
"SLC6A3","SEMA3G",0.255495017302799
