Regulator	Target	MI
ENSG00000236116	ENSG00000236015	1.2293362159076602
ENSG00000249302	ENSG00000251188	1.2293362159076602
ENSG00000249302	SGK2	1.2293362159076602
ENSG00000249302	ENSG00000259445	1.2293362159076602
SERPINB5	GPR79	1.2293362159076602
SERPINB5	COL22A1	1.2293362159076602
SERPINB5	NDUFB4P11	1.2293362159076602
ENSG00000225107	C11orf94	1.2293362159076602
ENSG00000225107	ENSG00000280205	1.2293362159076602
ENSG00000225107	LOC100996333	1.2293362159076602
ENSG00000225107	ENSG00000218313	1.2293362159076602
ENSG00000236591	RPL21P16	1.2293362159076602
ENSG00000236591	LGALS12	1.2293362159076602
ENSG00000236591	CHRDL1	1.2293362159076602
ENSG00000236591	RPL27P1	1.2293362159076602
ENSG00000272576	MMP13	1.3792922544726756
TNKS2-DT	ENSG00000259594	1.2293362159076602
TNKS2-DT	ENSG00000232591	1.3792922544726756
TNKS2-DT	PLPPR1	1.2293362159076602
TNKS2-DT	CDX1	1.2293362159076602
TNKS2-DT	TYRP1	1.3792922544726756
TNKS2-DT	ENSG00000228175	1.3792922544726756
TNKS2-DT	ENSG00000250934	1.2293362159076602
TNKS2-DT	ADRA1B	1.2293362159076602
TNKS2-DT	CPLX2	1.2293362159076602
TNKS2-DT	ENSG00000224442	1.2293362159076602
TNKS2-DT	ENSG00000278915	1.2293362159076602
TNKS2-DT	LINC00656	1.3792922544726756
TNKS2-DT	ENSG00000232022	1.2293362159076602
TNKS2-DT	MIR6124	1.2293362159076602
ENSG00000237576	ENSG00000273352	1.3792922544726756
ENSG00000237576	CHRM1	1.2293362159076602
ENSG00000237576	ENSG00000249609	1.2293362159076602
ENSG00000237576	ENSG00000199730	1.2293362159076602
ENSG00000237576	SNORD25	1.3792922544726756
ENSG00000237576	ENSG00000223834	1.2293362159076602
ENSG00000237576	SUSD4	1.2293362159076602
ENSG00000237576	ENSG00000260578	1.2293362159076602
ENSG00000237576	PANTR1	1.2293362159076602
ENSG00000237576	SEL1L2	1.2293362159076602
ENSG00000237576	MAPK4	1.2293362159076602
ENSG00000237576	LOC100421569	1.2293362159076602
ASCL1	ENSG00000248208	1.3792922544726756
ASCL1	ANKRD2	1.3792922544726756
MIR647	CIAO2AP1	1.3792922544726756
MIR647	ENSG00000260633	1.3792922544726756
MIR647	GJB3	1.3792922544726756
ENSG00000225111	RPL13P8	1.2293362159076602
ENSG00000225111	VIT	1.2293362159076602
ENSG00000226205	ENSG00000224067	1.3792922544726756
ENSG00000226205	ENSG00000275017	1.3792922544726756
ENSG00000226205	CCL11	1.3792922544726756
ENSG00000226205	ENSG00000268297	1.3792922544726756
ENSG00000226205	ENSG00000248925	1.3792922544726756
ENSG00000226205	ENSG00000271978	1.3792922544726756
ENSG00000226205	ZFY	1.3792922544726756
ENSG00000226205	ENSG00000261472	1.3792922544726756
ENSG00000226205	CDCA4P1	1.3792922544726756
H3C11	C7orf57	1.2293362159076602
ENSG00000258035	RPL21P16	1.2293362159076602
ENSG00000258035	LGALS12	1.2293362159076602
ENSG00000258035	CHRDL1	1.2293362159076602
ENSG00000258035	RPL27P1	1.2293362159076602
MTND6P9	ENSG00000273352	1.3792922544726756
MTND6P9	CHRM1	1.2293362159076602
MTND6P9	ENSG00000249609	1.2293362159076602
MTND6P9	ENSG00000199730	1.2293362159076602
MTND6P9	SNORD25	1.3792922544726756
MTND6P9	ENSG00000223834	1.2293362159076602
MTND6P9	SUSD4	1.2293362159076602
MTND6P9	ENSG00000260578	1.2293362159076602
MTND6P9	PANTR1	1.2293362159076602
MTND6P9	SEL1L2	1.2293362159076602
MTND6P9	MAPK4	1.2293362159076602
MTND6P9	LOC100421569	1.2293362159076602
ENSG00000260466	LINC01291	1.2293362159076602
ENSG00000224272	ENSG00000260823	1.2293362159076602
ENSG00000224272	RPL35P6	1.2293362159076602
LOC105375743	ENSG00000273352	1.3792922544726756
LOC105375743	CHRM1	1.2293362159076602
LOC105375743	ENSG00000249609	1.2293362159076602
LOC105375743	ENSG00000199730	1.2293362159076602
LOC105375743	SNORD25	1.3792922544726756
LOC105375743	ENSG00000223834	1.2293362159076602
LOC105375743	SUSD4	1.2293362159076602
LOC105375743	ENSG00000260578	1.2293362159076602
LOC105375743	PANTR1	1.2293362159076602
LOC105375743	SEL1L2	1.2293362159076602
LOC105375743	MAPK4	1.2293362159076602
LOC105375743	LOC100421569	1.2293362159076602
MIR3945	RPS27AP9	1.2293362159076602
SLCO4C1	ASS1P11	1.3792922544726756
SLCO4C1	DDX3Y	1.3792922544726756
SLCO4C1	ENSG00000237586	1.2293362159076602
SLCO4C1	PRKCE-AS1	1.3792922544726756
SLCO4C1	ZNF295-AS1	1.3792922544726756
SLCO4C1	ENSG00000278000	1.2293362159076602
SLCO4C1	RN7SL751P	1.3792922544726756
SLCO4C1	XIST	1.2293362159076602
SLCO4C1	C12orf42	1.2293362159076602
SLCO4C1	ENSG00000253288	1.3792922544726756
SLCO4C1	RPL12P24	1.3792922544726756
LINC01711	ASS1P11	1.3792922544726756
LINC01711	DDX3Y	1.3792922544726756
LINC01711	ENSG00000237586	1.2293362159076602
LINC01711	PRKCE-AS1	1.3792922544726756
LINC01711	ZNF295-AS1	1.3792922544726756
LINC01711	ENSG00000278000	1.2293362159076602
LINC01711	RN7SL751P	1.3792922544726756
LINC01711	XIST	1.2293362159076602
LINC01711	C12orf42	1.2293362159076602
LINC01711	ENSG00000253288	1.3792922544726756
LINC01711	RPL12P24	1.3792922544726756
ENSG00000270255	C9orf152	1.3792922544726756
ENSG00000270255	WNT11	1.3792922544726756
ENSG00000270255	LINC00639	1.3792922544726756
ENSG00000270255	LINC00545	1.3792922544726756
ENSG00000270255	TBC1D3D	1.3792922544726756
ENSG00000270255	ANKRD61	1.3792922544726756
ENSG00000270255	LINC00278	1.3792922544726756
ENSG00000270255	LOC100422317	1.3792922544726756
ENSG00000239763	CAPN14	1.2293362159076602
ENSG00000239763	ENSG00000263235	1.2293362159076602
ENSG00000239763	ENSG00000259211	1.2293362159076602
ENSG00000239763	GPR26	1.2293362159076602
ENSG00000239763	ENSG00000272814	1.2293362159076602
ENSG00000239763	ENSG00000270218	1.2293362159076602
ENSG00000239763	OFD1P17	1.2293362159076602
ENSG00000239763	ENSG00000237848	1.3792922544726756
ENSG00000239763	ENSG00000249986	1.2293362159076602
ENSG00000239763	ENSG00000267676	1.2293362159076602
ENSG00000239763	ENSG00000277302	1.2293362159076602
LINC00862	ENSG00000179038	1.3792922544726756
