gene	module	module_membership	kWithin	kTotal	kWithin_quantile	is_hub
MLLT6	blue	0.905808456688246	116.69273003091	189.510951894898	0.877440347071583	TRUE
KIAA0586	blue	0.914644738012269	116.41964499109	180.200699861971	0.876355748373102	TRUE
CD247	blue	0.881318932323254	116.067410165134	147.743448183946	0.87527114967462	TRUE
PIK3IP1-AS1	blue	0.821506254774883	115.802246982465	158.616458295758	0.874186550976139	TRUE
TTC39C	blue	0.879246110691486	115.184408198065	149.554473473002	0.873101952277657	TRUE
CASK	blue	0.897622616746343	114.766709949591	148.432122522643	0.872017353579176	TRUE
RORA	blue	0.869455697030856	114.698472036941	151.264231087292	0.870932754880694	TRUE
CHRM3-AS2	blue	0.83261767887142	114.174886500678	143.461059488102	0.869848156182213	TRUE
ETS1	blue	0.924281461630947	113.982724209476	228.509981743712	0.868763557483731	TRUE
SLFN5	blue	0.902955187191138	113.410200439942	137.866374873199	0.867678958785249	TRUE
LSR	blue	0.841251689952349	113.367365364506	157.960872192403	0.866594360086768	TRUE
TSPAN18	blue	0.811244860515324	113.152686644401	130.521198007564	0.865509761388286	TRUE
RCAN3	blue	0.874349317683178	112.920913936996	132.751498269148	0.864425162689805	TRUE
SFXN1	blue	0.850063832712185	112.860743490649	147.915149638148	0.863340563991323	TRUE
TESPA1	blue	0.854213287353932	112.043917067759	158.396991258327	0.862255965292842	TRUE
RASA3	blue	0.910346554613168	111.904073455111	137.09344698005	0.86117136659436	TRUE
TNFRSF25	blue	0.872608167414203	111.851223315958	127.108475412783	0.860086767895879	TRUE
TMEM245	blue	0.930354687980945	111.75959457796	173.283303098206	0.859002169197397	TRUE
CD3D	blue	0.84656114593347	110.621976981057	131.280885324534	0.857917570498915	TRUE
AC016074.2	blue	0.899577611647288	110.449595383038	157.863998292068	0.856832971800434	TRUE
CMTM8	blue	0.832972648076588	109.8333710076	136.647317735359	0.855748373101952	TRUE
AC104806.2	blue	0.886870625945993	109.816274090071	178.508603064864	0.854663774403471	TRUE
SUSD4	blue	0.794062318636601	109.814370236948	129.951784334708	0.853579175704989	TRUE
HAPLN3	blue	0.842379061374266	109.556114929943	137.134982317974	0.852494577006508	TRUE
LINC00954	blue	0.901910687610739	109.293806732764	150.602352409436	0.851409978308026	TRUE
CCR7	blue	0.853142729683222	108.756301421516	131.123402172888	0.850325379609544	TRUE
PBX4	blue	0.836433735413748	108.754968050487	143.655120734139	0.849240780911063	TRUE
KLF3-AS1	blue	0.841388417565548	108.139649786389	145.806559375643	0.848156182212581	TRUE
SLAIN1	blue	0.889256437862057	108.093968047929	179.587341112091	0.8470715835141	TRUE
SLFN12L	blue	0.850779166776751	107.992313551794	137.177913292601	0.845986984815618	TRUE
AC009505.1	blue	0.89538707346107	107.948132029907	137.228669885801	0.844902386117137	TRUE
TCP11L2	blue	0.910569139988532	107.884786953141	163.114747658514	0.843817787418655	TRUE
SARM1	blue	0.934866581542797	107.656315355435	176.065345812277	0.842733188720174	TRUE
DUSP16	blue	0.881466416604223	107.386158277126	160.933449490685	0.841648590021692	TRUE
ZC3H6	blue	0.947630121135064	107.245533369025	184.975817818962	0.84056399132321	TRUE
MORN3	blue	0.825747634008111	106.988207433517	127.847061486378	0.839479392624729	TRUE
STX2	blue	0.893877518708588	106.792109093244	153.173667224902	0.838394793926247	TRUE
PTPN4	blue	0.932795932910031	106.772440484377	205.735255649421	0.837310195227766	TRUE
CFAP36	blue	0.852138052909008	106.535030410064	149.968269422336	0.836225596529284	TRUE
ZNF862	blue	0.895373569157064	106.147461661243	136.319007240064	0.835140997830803	TRUE
AL137779.1	blue	0.831780117666106	104.706905265047	125.481200820778	0.832971800433839	TRUE
GALM	blue	0.860954169144719	104.265229245926	128.072435210597	0.831887201735358	TRUE
