"id","module"
"FAM198B-AS1","blue"
"TMEM144","blue"
"MARCH1","blue"
"SPOCK3","blue"
"SH3RF1","blue"
"GALNTL6","yellow"
"SAP30","blue"
"GPM6A","yellow"
"ACSL1","blue"
"AC084871.1","blue"
"AC084871.3","blue"
"MIR3945HG","blue"
"TRIO","blue"
"BASP1","blue"
"PRLR","blue"
"ZNF131","turquoise"
"SNX18","blue"
"GZMA","brown"
"GAPT","blue"
"ZSWIM6","blue"
"NLN","blue"
"CD180","blue"
"OCLN","blue"
"NAIP","blue"
"ZNF366","blue"
"FCHO2","blue"
"HEXB","blue"
"S100Z","blue"
"AC008771.1","blue"
"FAM151B","blue"
"XRCC4","blue"
"VCAN","blue"
"VCAN-AS1","blue"
"MEF2C-AS2","blue"
"MEF2C","blue"
"MEF2C-AS1","blue"
"LUCAT1","blue"
"MCTP1","blue"
"LIX1-AS1","yellow"
"SLCO4C1","brown"
"EFNA5","brown"
"FBN2","blue"
"P4HA2","blue"
"SLC22A4","blue"
"SHROOM1","blue"
"H2AFY","blue"
"TGFBI","blue"
"SPOCK1","blue"
"CTNNA1","blue"
"MZB1","green"
"HBEGF","blue"
"ANKHD1","turquoise"
"CD14","blue"
"IK","turquoise"
"ARAP3","blue"
"ARHGAP26","blue"
"ARHGAP26-AS1","blue"
"PRELID2","blue"
"RBM27","turquoise"
"PPP2R2B","brown"
"PPARGC1B","blue"
"CSF1R","blue"
"CD74","blue"
"NDST1","blue"
"GM2A","blue"
"SLC36A1","blue"
"HAVCR2","blue"
"EBF1","yellow"
"KCNMB1","blue"
"HRH2","blue"
"HK3","blue"
"RAB24","blue"
"DOK3","blue"
"RNF130","blue"
"EXOC2","turquoise"
"F13A1","blue"
"LY86-AS1","blue"
"LY86","blue"
"AL031123.1","blue"
"TXNDC5","green"
"GCNT2","blue"
"SYCP2L","blue"
"NEDD9","blue"
"TMEM170B","blue"
"PHACTR1","blue"
"GFOD1","blue"
"RANBP9","turquoise"
"CD83","blue"
"AL138720.1","blue"
