"id","module"
"VPREB3","yellow"
"DERL3","green"
"GRK3","blue"
"SEZ6L","blue"
"GAS2L1","blue"
"AP1B1","blue"
"TCN2","blue"
"HMOX1","blue"
"NCF4","blue"
"CSF2RB","blue"
"TST","blue"
"MPST","blue"
"LGALS2","blue"
"LGALS1","blue"
"GTPBP1","turquoise"
"APOBEC3A","blue"
"TNFRSF13C","green"
"NAGA","blue"
"NFAM1","blue"
"KIAA0930","blue"
"TTC38","brown"
"CELSR1","yellow"
"PLXNB2","blue"
"SCO2","blue"
"TYMP","blue"
"ODF3B","blue"
"U62317.4","blue"
"CSF2RA","blue"
"IL3RA","blue"
"ARSD","blue"
"TLR8","blue"
"AP1S2","blue"
"REPS2","blue"
"NHS","blue"
"ACOT9","blue"
"SAT1","blue"
"CXorf21","blue"
"GK","blue"
"CYBB","blue"
"MID1IP1","blue"
"MIR222HG","blue"
"CHST7","blue"
"RP2","blue"
"TIMP1","blue"
"CFP","blue"
"TFE3","blue"
"CLCN5","blue"
"IQSEC2","blue"
"HUWE1","turquoise"
"AL034397.3","blue"
"OPHN1","blue"
"NHSL2","blue"
"HDX","blue"
"DIAPH2","blue"
"BTK","blue"
"TMEM164","blue"
"IL13RA1","blue"
"ZNF185","blue"
"MPP1","blue"
"CLIC2","blue"
